Date ;Region id ;Region ;DL ;Danger level ;Problem order ;Problem ;Cause/ weaklayer ;Type ;Size ;Trigger ;Probability ;Distribution
2014-04-16 ;112 ;Bardu ;3 ;3 Betydelig ;1 ; ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-04-17 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-04-17 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-04-18 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-04-19 ;112 ;Bardu ;3 ;3 Betydelig ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;3 - Store ;Naturlig utløst ;Mulig  ;
2014-04-19 ;112 ;Bardu ;3 ;3 Betydelig ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte flakskred ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-04-20 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-04-20 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-04-21 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-04-22 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
