Dato ;Region ;Kommune ;Dødsfall ;Alvorsgrad ;Involverte ;Aktivitet ;Faregrad ;Skredproblem 1 ;Skredtype 1 ;Svaktlag 1 ;Skredproblem 2 ;Skredtype 2 ;Svaktlag 2 ;Skredproblem 3 ;Skredtype 3 ;Svaktlag 3 ;Kommentar ;regObs
2018-04-17 ;Lyngen ;Lyngen ;0 ;Nestenulykke ;2 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ; ; ; ;Skiløpere utløste sløsjskred. Kjørte ut av skredet. Ingen skadet. ;159764
2018-04-15 ;Sunnmøre ;Ørsta ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Våte flakskred ;Våte flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ; ; ; ;Skiløperutløst skred. Ingen tatt?. Ingen skadet ;159175
2018-04-15 ;Salten ;Bodø ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;159124
2018-04-15 ;Indre Troms ;Balsfjord ;0 ; ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Skiløperutløst skred. En tatt, men liggende oppå skredet. Ingen skadet. ;159119
2018-04-14 ;Trollheimen ;Oppdal ;0 ;Nestenulykke ;1 ;Ski ;3 ;Våte flakskred ;Våte flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;158906
2018-04-14 ;Romsdal ;Rauma ;0 ; ;1 ;Ski ;3 ;Våte flakskred ;Våte flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ; ; ; ;Skiløperutløst skred. Ingen tatt?. Ingen skadet. ;158872
2018-04-14 ;Sør-Troms ;Lenvik ;0 ; ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;158829
2018-04-14 ;Indre Sogn ;Luster ;0 ; ;3 ;Snøbrett ;3 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Snøbrettkjører utløste lite skred. Ingen tatt. Ingen skadet. ;158880
2018-04-13 ;Jotunheimen ;Vang ;0 ;Påvirket ingenting ;4 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;158690
2018-04-12 ;Jotunheimen ;Vang ;0 ; ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;158349
2018-04-12 ;Lyngen ;Lyngen ;1 ;Personer omkommet ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Person falt gjennom skavl og utløste skred under. Omkom av skadene ;162732
2018-04-10 ;Sunnmøre ;Ørsta ;0 ;Leteaksjon igangsatt ;1 ;Ski ;3 ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløperutløst skred. En tatt. Ingen skadet. ;157909
2018-04-09 ;Trollheimen ;Sunndal ;0 ;Nestenulykke ;5 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Følge på fem utløste skred. En tatt og begravd. Gravd frem av turfølget. Fraktet til sykehus. ;157691
2018-04-09 ;Sunnmøre ;Sykkylven ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet ;157723
2018-04-08 ;Salten ;Bodø ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;157256
