Dato ;Region ;Kommune ;Dødsfall ;Alvorsgrad ;Involverte ;Aktivitet ;Faregrad ;Skredproblem 1 ;Skredtype 1 ;Svaktlag 1 ;Skredproblem 2 ;Skredtype 2 ;Svaktlag 2 ;Skredproblem 3 ;Skredtype 3 ;Svaktlag 3 ;Kommentar ;regObs
2018-03-31 ;Indre Troms ;Balsfjord ;0 ;Personer skadet ;6 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Gruppe på ski utløste skred. 4 tatt og delvis begravet. En lettere skadet pga. sammenstøt med trær. ;155206
2018-03-31 ;Indre Troms ;Bardu ;0 ;Ikke spesifisert ;2 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skred fjernutløst av skiløpere. Ingen tatt. Ingen skadet. ;155243
2018-03-31 ;Lofoten og Vesterålen ;Vågan ;0 ;Nestenulykke ;6 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skredutløst av gruppe skiløpere. Ingen tatt. Ingen skadet. ;155188
2018-03-31 ;Sør-Troms ;Berg ;0 ;Trafikk hindret ;2 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skred fjernutløst av skiløpere. Ingen tatt. Ingen skadet. ;155218
2018-03-31 ;Sør-Troms ;Gratangen ;0 ;Ikke spesifisert ;1 ;Snøskuter ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skred fjernutløst av snøskuter. Ingen tatt. Ingen skadet ;155276
2018-03-30 ;Lyngen ;Lyngen ;0 ;Nestenulykke ;6 ;Ski ;4 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skred utløst av turfølge. En nesten tatt. Ingen skadet ;155434
2018-03-30 ;Øst-Finnmark ;Tana ;0 ; ;1 ;Snøskuter ; ; ; ; ; ; ; ; ; ; ;Snøscooterfører løste ut og ble tatt av skred. Fløyet til sykehus md lettere skader ;155244
2018-03-29 ;Indre Troms ;Balsfjord ;0 ; ;1 ;Ski ;4 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;154493
2018-03-29 ;Ofoten ;Tjeldsund ;0 ;Påvirket ingenting ;2 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløpere fjernutløste skred. Ingen tatt. Ingen skadet. ;154448
2018-03-29 ;Nord-Troms ;Nordreisa ;1 ;Personer omkommet ;1 ;Snøskuter ;4 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Snøskooter utløste skred. En tatt og omkom. ;154642
2018-03-28 ;Tromsø ;Tromsø ;0 ;Personer skadet ;1 ;Ski ;4 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst skred. En tatt, ikke begravet men skadet. Fraktet til sykehus ;154235
2018-03-28 ;Nord-Troms ;Kåfjord ;0 ; ;2 ;Ski ;4 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløpere utløste skred. En tatt, men kom seg ut ved egen hjelp. Ingen skadet. ;154152
2018-03-28 ;Sør-Troms ;Skånland ;0 ; ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;154364
2018-03-28 ;Hardanger ;Sauda ;0 ;Ikke spesifisert ;1 ;Ski offpist ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Skiløperutløst skred. En ført med skredet. Kom seg ut ved egen hjelp. Ingen skadet. ;154285
2018-03-27 ;Sunnmøre ;Ørsta ;0 ;Ikke spesifisert ;2 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Skiløperutløst skred. En tatt og delvis begravd. Kommer seg ut ved egen hjelp. Ingen skadet. ;153963
2018-03-27 ;Vest-Finnmark ;Alta ;0 ;Nestenulykke ;3 ;Ski ;4 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløpere fjernutløste lite skred. En ble så vidt truffet. Ingen skadet. ;153881
2018-03-27 ;Indre Sogn ;Luster ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;153875
2018-03-27 ;Lofoten og Vesterålen ;Sortland ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernuløste flere skred. Ingen tatt. Ingen skadet. ;153830
2018-03-26 ;Sunnmøre ;Ørsta ;0 ;Nestenulykke ;3 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Skiløperutløst skred. To tatt. Ingen skadet ;153516
2018-03-26 ;Indre Sogn ;Luster ;0 ; ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Lite skred fjernutløst? av skiløper. Ingen tatt. Ingen skadet. ;153539
2018-03-26 ;Sunnmøre ;Ørsta ;0 ; ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;153414
2018-03-26 ;Nord-Troms ;Nordreisa ;0 ; ;1 ;Ski ;4 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernutløste flere små skred. Ingen tatt. Ingen skadet. ;153510
2018-03-26 ;Lyngen ;Lyngen ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet. ;153515
2018-03-25 ;Nord-Troms ;Nordreisa ;0 ;Nestenulykke ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper?utløst skred. Ingen skadet. ;153125
2018-03-25 ;Jotunheimen ;Luster ;0 ; ;2 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløpere fjernutløste lite skred. Ingen tatt. Ingen skadet. ;153148
2018-03-25 ;Jotunheimen ;Lom ;0 ;Påvirket ingenting ;2 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;153162
2018-03-25 ;Jotunheimen ;Lom ;0 ;Nestenulykke ;2 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;153110
2018-03-24 ;Lofoten og Vesterålen ;Hadsel ;0 ;Påvirket ingenting ;8 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;152926
2018-03-24 ;Salten ;Steigen ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;152928
2018-03-24 ;Lyngen ;Tromsø ;0 ;Ikke spesifisert ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst lite skred. ;152884
2018-03-24 ;Indre Sogn ;Lærdal ;0 ; ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;152890
2018-03-23 ;Indre Fjordane ;Førde ;0 ;Ikke spesifisert ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Våte flakskred ;Våte flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Skiløperutløst skred. En tatt. Ingen skadet. ;152735
2018-03-23 ;Sør-Troms ;Ibestad ;0 ;Nestenulykke ;2 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø over skarelag ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;152693
2018-03-23 ;Sør-Troms ;Ibestad ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø over skarelag ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;152586
2018-03-22 ;Lofoten og Vesterålen ;Øksnes ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;152460
2018-03-22 ;Jotunheimen ;Lom ;0 ;Påvirket ingenting ;1 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Våte løssnøskred  ;Våte løssnøskred  ;Ubunden snø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø over skarelag ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;152416
2018-03-21 ;Lofoten og Vesterålen ;Hadsel ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;152145
2018-03-20 ;Buskerud sør ;Sigdal ;0 ; ;2 ;Ski ; ; ; ; ; ; ; ; ; ; ;Skiløperutløst skred. ;152077
2018-03-20 ;Indre Troms ;Balsfjord ;0 ; ;2 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst skred. En tatt, men holdt seg på beina. Ingen skadet. ;152167
2018-03-20 ;Vest-Telemark ;Tinn ;0 ;Leteaksjon igangsatt ;4 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø over skarelag ; ; ; ;Skiløperutløst skred. En tatt. Fløt oppå. Ingen skadet. ;152004
2018-03-20 ;Jotunheimen ;Luster ;0 ; ;3 ;Ski ;2 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket overflaterim ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø over skarelag ;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet. ;151941
2018-03-20 ;Romsdal ;Rauma ;0 ; ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet. ;151882
2018-03-20 ;Sunnmøre ;Stranda ;0 ; ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløperutlsøt skred. Ingen tatt. Ingen skadet. ;151900
2018-03-20 ;Vest-Finnmark ;Alta ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet ;151907
2018-03-20 ;Indre Troms ;Balsfjord ;0 ; ;2 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Fjernutløst skred. Ingen tatt. Ingen skadet ;151813
2018-03-20 ;Hallingdal ;Hemsedal ;0 ;Nestenulykke ;1 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;151889
2018-03-20 ;Tromsø ;Tromsø ;0 ; ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket overflaterim ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet. ;151815
2018-03-20 ;Jotunheimen ;Vang ;0 ;Nestenulykke ;2 ;Ski ;2 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket overflaterim ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø over skarelag ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;151895
2018-03-20 ;Trollheimen ;Oppdal ;0 ; ;1 ;Snøbrett ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Snowboarder utløste skred. Ingen tatt. Ingen skadet. ;151852
2018-03-20 ;Indre Troms ;Bardu ;0 ; ;1 ;Snøskuter ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Snøscooter fjernutløste lite skred. Ingen tatt. Ingen skadet ;151933
2018-03-19 ;Nord-Gudbrandsdalen ;Sel ;0 ; ;0 ;Bil ; ; ; ; ; ; ; ; ; ; ;Naturlig utløst skred over vei. Ingen biler tatt eller begravd ;151383
2018-03-19 ;Salten ;Fauske ;0 ;Påvirket ingenting ;4 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløpere utløste skred. Fire tatt. Delvis begravd. Ingen skadet, ;151721
2018-03-19 ;Ofoten ;Ballangen ;0 ; ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket overflaterim ; ; ; ;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet. ;151637
2018-03-19 ;Sør-Troms ;Tranøy ;0 ; ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø over skarelag ; ; ; ;Skred fjernutløst av skiløpr. Ingen tatt. Ingen skadet, ;151587
2018-03-19 ;Ofoten ;Narvik ;0 ; ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket overflaterim ; ; ; ;Fjernutløst lite skred. Ingen tatt. Ingen skadet. ;151559
2018-03-19 ;Lofoten og Vesterålen ;Vågan ;0 ;Nestenulykke ;3 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Fjernutløst skred. En ført med og delvis begravd, men kom seg ut ved egen hjelp. Ingen skadet. ;151592
2018-03-19 ;Tromsø ;Tromsø ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket overflaterim ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ;Skred fjernuløst av skiløper.Ingen tatt. Ingen skadet. ;151536
2018-03-18 ;Hallingdal ;Hemsedal ;0 ; ;1 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet. ;151272
2018-03-18 ;Hallingdal ;Hemsedal ;0 ;Nestenulykke ;1 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst skred. En person ført med. Skadeomfang ukjent. ;151605
2018-03-18 ;Hallingdal ;Hemsedal ;0 ;Personer skadet ;1 ;Ski offpist ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst skred. En tatt. En skadet og sendt i ambulanse. ;151606
2018-03-17 ;Hardanger ;Kvinnherrad ;0 ; ;2 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ; ; ; ;Skred fjernutløst av gruppe. Ingen skadet. ;151132
2018-03-17 ;Lyngen ;Lyngen ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skred fjernutløst av fjellskiløper. Ingen tatt. Ingen begravet. ;151126
2018-03-17 ;Hardanger ;Kvinnherrad ;0 ;Ikke spesifisert ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ; ; ; ;Skiløperutløst skred.En ført med. Ikke begravet. Ikke skadet. ;151121
2018-03-17 ;Voss ;Voss ;0 ;Ikke spesifisert ;1 ;Ski ;2 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;151110
2018-03-17 ;Jotunheimen ;Vang ;0 ; ;2 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø over skarelag ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;151175
2018-03-17 ;Trollheimen ;Oppdal ;0 ;Påvirket ingenting ;1 ;Ski ;2 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ; ; ; ;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet. ;151122
2018-03-16 ;Indre Sogn ;Sogndal ;0 ; ;1 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet. ;150923
2018-03-16 ;Lofoten og Vesterålen ;Vågan ;0 ;Nestenulykke ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst skred. En tatt og delvis begravd. Gravd frem av kamerater. ;151015
2018-03-16 ;Jotunheimen ;Lom ;0 ; ;3 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø over skarelag ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;150908
2018-03-16 ;Hardanger ;Sauda ;0 ;Påvirket ingenting ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet. ;151094
2018-03-16 ;Jotunheimen ;Vang ;0 ;Påvirket ingenting ;2 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø over skarelag ; ; ; ;Lite skred fjernuløst fra rygg av skiløper. Ingen tatt. Ingen skadet. ;150929
2018-03-15 ;Lyngen ;Tromsø ;0 ;Nestenulykke ;3 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst skred. En fraktet med. Ingen skadet. ;151042
2018-03-14 ;Lofoten og Vesterålen ;Vågan ;0 ; ;1 ;Ski ;3 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. Skredbanen krysser flere skispor. ;150554
2018-03-13 ;Trollheimen ;Hemne ;0 ; ;1 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet. ;150272
2018-03-13 ;Sunnmøre ;Ørsta ;0 ; ;1 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;150266
2018-03-13 ;Lyngen ;Tromsø ;0 ;Påvirket ingenting ;1 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;150188
2018-03-12 ;Ofoten ;Narvik ;0 ; ;1 ;Ski ;2 ;Nysnøflak ;Tørre flakskred ;Nedføyket svakt lag med nysnø ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket overflaterim ; ; ; ;Skiløperutløst skred. Ingen tatt. Ingen skadet. ;150021
2018-03-11 ;Romsdal ;Fræna ;0 ;Påvirket ingenting ;1 ;Ski ;2 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;149802
2018-03-10 ;Lyngen ;Lyngen ;0 ;Nestenulykke ;1 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Dårlig binding mellom lag i fokksnøen ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;149738
2018-03-10 ;Jotunheimen ;Vang ;0 ;Påvirket ingenting ;1 ;Ski ;2 ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø over skarelag ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket overflaterim ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;149665
2018-03-09 ;Lyngen ;Lyngen ;0 ; ;4 ;Ski ;2 ;Fokksnø ;Tørre flakskred ;Dårlig binding mellom lag i fokksnøen ;Vedvarende svakt lag ;Tørre flakskred ;Kantkornet snø under skarelag ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;149574
2018-03-07 ;Lofoten og Vesterålen ;Vågan ;0 ;Annet ;2 ;Ski ;1 ;Vedvarende svakt lag ;Tørre flakskred ;Nedsnødd eller nedføyket kantkornet snø ; ; ; ; ; ; ;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. ;149387
