Dato;Region;FG;Faregrad;Hovedskredproblem;Skredproblem;Skredproblem
2013-01-11;Narvik;2;2 Moderat;
2013-01-12;Narvik;2;2 Moderat;
2013-01-13;Narvik;2;2 Moderat;
2013-01-14;Narvik;2;2 Moderat;
2013-01-15;Narvik;2;2 Moderat;
2013-01-16;Narvik;2;2 Moderat;
2013-01-17;Narvik;3;3 Betydelig;
2013-01-18;Narvik;3;3 Betydelig;
2013-01-19;Narvik;3;3 Betydelig;
2013-01-20;Narvik;3;3 Betydelig;
2013-01-21;Narvik;3;3 Betydelig;
2013-01-22;Narvik;3;3 Betydelig;
2013-01-23;Narvik;3;3 Betydelig;
2013-01-24;Narvik;3;3 Betydelig;
2013-01-25;Narvik;2;2 Moderat;
2013-01-26;Narvik;2;2 Moderat;
2013-01-27;Narvik;2;2 Moderat;
2013-01-28;Narvik;2;2 Moderat;
2013-01-29;Narvik;2;2 Moderat;
2013-01-30;Narvik;2;2 Moderat;
2013-01-31;Narvik;2;2 Moderat;
2013-02-01;Narvik;2;2 Moderat;
2013-02-02;Narvik;2;2 Moderat;
2013-02-03;Narvik;2;2 Moderat;
2013-02-04;Narvik;2;2 Moderat;
2013-02-05;Narvik;2;2 Moderat;
2013-02-06;Narvik;3;3 Betydelig;
2013-02-07;Narvik;3;3 Betydelig;
2013-02-08;Narvik;2;2 Moderat;
2013-02-09;Narvik;2;2 Moderat;
2013-02-10;Narvik;2;2 Moderat;
2013-02-11;Narvik;2;2 Moderat;
2013-02-12;Narvik;2;2 Moderat;
2013-02-13;Narvik;2;2 Moderat;
2013-02-14;Narvik;2;2 Moderat;
2013-02-15;Narvik;2;2 Moderat;
2013-02-16;Narvik;2;2 Moderat;
2013-02-17;Narvik;2;2 Moderat;
2013-02-18;Narvik;2;2 Moderat;
2013-02-19;Narvik;2;2 Moderat;
2013-02-20;Narvik;2;2 Moderat;
2013-02-21;Narvik;3;3 Betydelig;
2013-02-22;Narvik;2;2 Moderat;
2013-02-23;Narvik;2;2 Moderat;
2013-02-24;Narvik;3;3 Betydelig;
2013-02-25;Narvik;3;3 Betydelig;
2013-02-26;Narvik;4;4 Stor;
2013-02-27;Narvik;3;3 Betydelig;
2013-02-28;Narvik;3;3 Betydelig;
2013-03-01;Narvik;2;2 Moderat;
2013-03-02;Narvik;2;2 Moderat;
2013-03-03;Narvik;2;2 Moderat;
2013-03-04;Narvik;2;2 Moderat;
2013-03-05;Narvik;2;2 Moderat;
2013-03-06;Narvik;2;2 Moderat;
2013-03-07;Narvik;3;3 Betydelig;
2013-03-08;Narvik;3;3 Betydelig;
2013-03-09;Narvik;3;3 Betydelig;
2013-03-10;Narvik;3;3 Betydelig;
2013-03-11;Narvik;3;3 Betydelig;
2013-03-12;Narvik;3;3 Betydelig;
2013-03-13;Narvik;3;3 Betydelig;
2013-03-14;Narvik;3;3 Betydelig;
2013-03-15;Narvik;2;2 Moderat;
2013-03-16;Narvik;3;3 Betydelig;
2013-03-17;Narvik;3;3 Betydelig;
2013-03-18;Narvik;3;3 Betydelig;
2013-03-19;Narvik;3;3 Betydelig;
2013-03-20;Narvik;2;2 Moderat;
2013-03-21;Narvik;2;2 Moderat;
2013-03-22;Narvik;2;2 Moderat;
2013-03-23;Narvik;2;2 Moderat;
2013-03-24;Narvik;2;2 Moderat;
2013-03-25;Narvik;2;2 Moderat;
2013-03-26;Narvik;3;3 Betydelig;
2013-03-27;Narvik;3;3 Betydelig;
2013-03-28;Narvik;3;3 Betydelig;
2013-03-29;Narvik;3;3 Betydelig;
2013-03-30;Narvik;4;4 Stor;
2013-03-31;Narvik;4;4 Stor;
2013-04-01;Narvik;4;4 Stor;
2013-04-02;Narvik;4;4 Stor;
2013-04-03;Narvik;3;3 Betydelig;
2013-04-04;Narvik;3;3 Betydelig;
2013-04-05;Narvik;3;3 Betydelig;
2013-04-06;Narvik;2;2 Moderat;
2013-04-07;Narvik;2;2 Moderat;
