Dato;Varslingsregion;URL;RegID;Observator;Skadeomfang;Aktivitet;URL;Faregrad;Skredproblem;Svakt lag;Skredproblem;Svakt lag;Skredproblem;Svakt lag
2016-01-11;Kaafjord;http://www.regobs.no/Registration/76359;76359;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Kafjord/?date=11.01.2016;3 Betydelig;Vedvarende svakt lag;Kantkornet over skaren;Fokksnoe;Daarlig binding i fokksnoeen
2016-01-11;Kaafjord;http://www.regobs.no/Registration/76358;76358;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Kafjord/?date=11.01.2016;3 Betydelig;Vedvarende svakt lag;Kantkornet over skaren;Fokksnoe;Daarlig binding i fokksnoeen
2016-01-17;Alta;http://www.regobs.no/Registration/75870;75870;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Alta/?date=17.01.2016;2 Moderat;Fokksnoe;Nedfoeyket loes nysnoe
2016-01-17;Hallingdal;http://www.regobs.no/Registration/76053;76053;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Hallingdal/?date=17.01.2016;3 Betydelig;Fokksnoe;Daarlig binding i fokksnoeen;Vedvarende svakt lag;Nedsnoedd overflaterim
2016-01-17;Roeldal;http://www.regobs.no/Registration/75827;75827;Ragnar@NVE;Personer skadet;Topptur;http://www.varsom.no/Snoskred/Roldal/?date=17.01.2016;2 Moderat;Vedvarende svakt lag;Nedsnoedd overflaterim
2016-01-18;Alta;http://www.regobs.no/Registration/75886;75886;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Alta/?date=18.01.2016;2 Moderat;Fokksnoe;Nedfoeyket loes nysnoe
2016-01-19;Romsdal;http://www.regobs.no/Registration/79293;79293;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Romsdal/?date=19.01.2016;3 Betydelig;Vedvarende svakt lag;Nedsnoedd kantkornet snoe;Fokksnoe;Nedfoeyket loes nysnoe
2016-01-19;Romsdal;http://www.regobs.no/Registration/76369;76369;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Romsdal/?date=19.01.2016;3 Betydelig;Vedvarende svakt lag;Nedsnoedd kantkornet snoe;Fokksnoe;Nedfoeyket loes nysnoe
2016-01-20;Alta;http://www.regobs.no/Registration/77065;77065;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Alta/?date=20.01.2016;2 Moderat;Fokksnoe;Daarlig binding i fokksnoeen;Vedvarende svakt lag;Nedsnoedd overflaterim
2016-01-22;Lyngsalpan;http://www.regobs.no/Registration/77234;77234;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Lyngsalpan/?date=22.01.2016;3 Betydelig;Fokksnoe;Daarlig binding i fokksnoeen;Vedvarende svakt lag;Kantkornet under skaren
2016-01-23;Svartisen;http://www.regobs.no/Registration/76860;76860;Ragnar@NVE;Nestenulykke;Topptur;http://www.varsom.no/Snoskred/Svartisen/?date=23.01.2016;2 Moderat;Fokksnoe;Nedfoeyket loes nysnoe;Vedvarende svakt lag;Nedsnoedd overflaterim
2016-01-23;Alta;http://www.regobs.no/Registration/77068;77068;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Alta/?date=23.01.2016;2 Moderat;Fokksnoe;Nedfoeyket loes nysnoe;Vedvarende svakt lag;Nedsnoedd overflaterim
2016-01-23;Trollheimen;http://www.regobs.no/Registration/83825;83825;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Trollheimen/?date=23.01.2016;3 Betydelig;Fokksnoe;Nedfoeyket loes nysnoe;Vedvarende svakt lag;Nedsnoedd kantkornet snoe
2016-01-26;Trollheimen;http://www.regobs.no/Registration/83756;83756;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Trollheimen/?date=26.01.2016;2 Moderat;Fokksnoe;Nedfoeyket loes nysnoe;Nysnoe;Ubunden snoe;Vedvarende svakt lag;Nedsnoedd kantkornet snoe
2016-01-30;Jotunheimen;http://www.regobs.no/Registration/79215;79215;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Jotunheimen/?date=30.01.2016;3 Betydelig;Fokksnoe;Daarlig binding i fokksnoeen;Vedvarende svakt lag;Kantkornet under skaren;Vedvarende svakt lag;Nedsnoedd overflaterim
2016-01-30;Tamokdalen;http://www.regobs.no/Registration/77884;77884;sondre;Trafikk hindret;Topptur;http://www.varsom.no/Snoskred/Tamokdalen/?date=30.01.2016;2 Moderat;Fokksnoe;Nedfoeyket loes nysnoe;Vedvarende svakt lag;Kantkornet over skaren
2016-01-31;Voss;http://www.regobs.no/Registration/78581;78581;drift@svv;Trafikk hindret;Vei;http://www.varsom.no/Snoskred/Voss/?date=31.01.2016;3 Betydelig;Fokksnoe;Nedfoeyket loes nysnoe;Fokksnoe;Daarlig binding i fokksnoeen;Vedvarende svakt lag;Nedsnoedd overflaterim
