Comment;TripRegistrationTime;TripID;GeoHazardTID;ObserverID;IsFinished;TripTypeName;DeviceID;ObsLocationID;ObservationExpectedTime;TripTypeTID;TripFinishedTime
Olahansen i Dvergsdalsdalen i Joelster . Sjaa etter ustabile sjiktovergangar i nysnoeen;2015-12-03 08:38:58;630;10;544;True;Ordinaer ihht. obsavtale;01b54b84-8b30-4036-801f-8841752dccd2;28662;2015-12-03 13:00:00;20;2015-12-03 12:31:45
Stortind. Ser etter mengde snoe, kantkorn ...;2015-12-03 08:55:40;631;10;270;True;Ordinaer ihht. obsavtale;7b8741fc-bb01-4bc0-b6c0-72d0e9e49db2;28664;2015-12-03 15:00:00;20;2015-12-03 12:33:41
Tur til Steinskardtind, Kattfjordeidet. Mye vind aa nedboer i byen, se hva som skjer i hoeyden;2015-12-03 09:04:55;632;10;203;True;Ordinaer ihht. obsavtale;c41eb08e-e6f8-43f2-ac27-b420551c6b96;28665;2015-12-03 13:00:00;20;2015-12-03 12:43:45
Vengedalen;2015-12-03 10:56:23;633;10;201;True;Ordinaer ihht. obsavtale;385c8033-1db8-484f-f2b2-80a23e33167e;28674;2015-12-03 14:00:00;20;2015-12-03 13:43:13
Obstur skoersnoese , jotunheimen;2015-12-03 12:27:45;634;10;21;True;Ordinaer ihht. obsavtale;0a3a68fc-0718-4b93-416f-aaa582e651c6;28681;2015-12-03 14:00:00;20;2015-12-03 14:12:03
Bergsjoe. 15 cm nysnoe hjemme paa aal i natt.;2015-12-04 09:45:18;635;10;1083;True;Ordinaer ihht. obsavtale;9c3b93a8-5cbb-4c08-60fa-1c692a5352ac;28719;2015-12-04 14:00:00;20;2015-12-04 23:00:00
Drar til Viktind og ser etter nysnoegrense og hva vaer og vind har gjort med snoedekket;2015-12-04 09:54:09;636;10;788;True;Ordinaer ihht. obsavtale;c65c3dc2-43b0-4d24-c8e1-6312d0c85a72;28720;2015-12-04 15:00:00;20;2015-12-04 23:00:00
;2015-12-04 10:15:18;637;10;282;True;Ordinaer ihht. obsavtale;e04ec001-0423-48dd-6419-ffc5e02f748f;28723;2015-12-04 14:00:00;20;2015-12-04 12:31:18
Bjoernfjell stasjon;2015-12-04 10:32:31;638;10;775;True;Ordinaer ihht. obsavtale;23d1aa07-a62f-42a9-8782-fbf9aa65d138;28724;2015-12-04 16:00:00;20;2015-12-04 18:10:57
Lite snoe i ytre deler av regionen. Men drar til Standalseidet for aa faa betre oversikt over snoemengde og snoefordeling. Og vindtransport;2015-12-04 11:16:26;639;10;269;True;Ordinaer ihht. obsavtale;a43678ce-69b1-4f14-06df-3034f03caf0a;28725;2015-12-04 15:00:00;20;2015-12-04 14:33:59
Drar ut til stormoa paa senja, usikker paa snoe forhold! Moerke gjoer at det tar litt tid! Obs ventet ikveld. Daarlig dekning i omraadet;2015-12-04 15:22:56;640;10;794;True;Ordinaer ihht. obsavtale;532620c3-6a20-4e26-5cda-18b5f199a4fb;28780;2015-12-04 21:00:00;20;2015-12-04 23:00:00
Bomfjellet, oertfjell. Bindinger i fokksnoe, hvor hoeyt har mildvaer gaatt siste uken;2015-12-05 09:45:25;641;10;839;True;Ordinaer ihht. obsavtale;bfcfe3bd-9912-417c-8c58-9b8f32a7f70b;28792;2015-12-05 15:00:00;20;2015-12-05 23:00:01
Sorbmegaisa og sjekk av fokksnoe og leit e svake lag;2015-12-05 10:17:18;642;10;767;True;Ordinaer ihht. obsavtale;4a54ceae-e579-4b27-c662-05e344f427dc;28794;2015-12-05 14:00:00;20;2015-12-05 14:38:16
