ID   Order  IsActive  Langkey   Name                                              Description                                       
0    0      1         1         Ikke gitt                                         None                                              
10   10     1         1         Naturlig utloest                                  None                                              
20   20     1         1         Kunstig utloest                                   None                                              
21   21     1         1         Ski eller skuter utloest                          None                                              
22   22     1         1         Ski eller skuter fjernutloest                     None                                              
23   23     1         1         Kunstig utloest testheng                          None                                              
25   25     1         1         Kunstig utl av eksplosiver                        None                                              
99   99     1         1         Ukjent                                            None                                              
