Dato;Døde;Involvert;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse
11.02.18;0;3;Ski;M;Hunnedalen;Gjesdal;Roga.;145590;;Utløst av folk på skitur på vei til hytte. 3 tatt. En begravd, en delvis begravd. Gravd frem av folk i turfølget. Til sykehus, men det gikk bra
10.02.18;0;1;Ski;M;Slåtto;Hol;Busk.;145004;;Lite løssnøskred utløst. Ingen tatt.
10.02.18;0;1;Ski offpist;M;Skianlegg Svandalen;Sauda;Roga.;145090;;Skiløperutløst skred i skianlegg. Vanskelig å si hvor mange involverte.
03.02.18;0;1;Ski;M;Skarelvfjellet;Lenvik;Troms;144094;;Lite fjernuløst skred. Ingen tatt.
03.02.18;0;2;Ski;M;Tverrfjellet;Forsand;Roga.;144203;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
03.02.18;0;1;Ski offpist;M;Trysilfjellet;Trysil;Hedm.;144003;;Skiløperutløst skred?
02.02.18;0;1;Ski;M;Krossen;Vinje;Tele.;143846;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
02.02.18;0;4;Ski;M;Tråna;Sogndal;S&F;143824;;Skikjørerutløst lite skred. Ingen tatt. Ingen skadet.
02.02.18;0;1;Ski;M;Hemsedal;Hemsedal;Busk.;143788;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
31.01.18;0;1;Ski;M;Høganibba;Luster;S&F;143456;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
31.01.18;0;2;Ski;M;Gjuratinden;Rauma;M&R;143488;;Skiløperutløst skred. En tatt og skadet. Fraktet til sykehus
27.01.18;0;1;Ski;M;Sjøholt;Ørskog;M&R;142723;;Skikjørerutløst lite skred. Ingen tatt. Ingen skadet.
27.01.18;0;3;Ski;M;Trollheimen;Oppdal;S-T;142677;;Skikjørerutløst lite skred. Ingen tatt. Ingen skadet.
26.01.18;0;2;Ski;M;Rødtinden;Tromsø;Troms;142523;;Skikjørerutløst lite skred. Ingen tatt. Ingen skadet.
26.01.18;0;2;Ski offpist;M;Strandafjellet alpinanlegg;Stranda;M&R;142924;;Skikjørere utløste lite skred. Ingen tatt. Ingen skadet.
25.01.18;0;2;Ski;M;Lifjell;Bø;Tele.;142326;;Skiløpere fjernutløste lite skred. Ingen tatt. Ingen skadet.
25.01.18;0;2;Snøskuter;M;Torsetlia;Nore og Uvdal;Busk.;142850;;Skred fjernuløst av snøscootere. Ingen tatt. Ingen skadet.
24.01.18;0;3;Ski;M;Heimerdalen;Ibestad;Troms;152793;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
24.01.18;0;1;Ski;M;Longyearbyen;Svalbard;Sval.;142112;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
21.01.18;0;1;Ski;M;Børrenøse;Vang;Oppl.;141585;;Skiløperutløst lite skred. Ingen skadet.
20.01.18;0;1;Ski;M;Flæfjellet;Samnanger;Hord.;141638;;Skiløperutløst skred. En tatt. Ingen skadet.
17.01.18;0;2;Ski;M;Vatnasete;Sogndal;S&F;141126;;Skiløperutløst lite skred. Ingen skadet.
10.01.18;0;1;Ski;M;Kvamshalsen;Sogndal;S&F;139975;;Skiløperutløst lite skred. Ingen skadet.
08.01.18;0;1;Ski;M;Sollifjellet;Harstad;Nord.;139630;;Skiløperutløst skred. Ingen skadet.
07.01.18;0;1;Ski;M;Løkjestølane;Hemsedal;Busk.;139141;;Skiløper utløst lite skred. Ført med få meter. Ingen skadet.
07.01.18;0;4;Ski;M;Golsfjellet;Gol;Busk.;139165;;Skiløperutløst skred. En ble sittende fast. Kom seg ut ved venners hjelp. Ingen skadet
06.01.18;0;2;Ski;M;Limstrandtinden;Vestvågøy;Nord.;138942;;Skiløpere utløste skred. Ingen tatt. Ingen skadet.
06.01.18;0;2;Ski;M;Tjorbufjell;Seljord;Tele.;138955;;Skiløpere fjernutløste lite skred. Ingen tatt. Ingen skadet.
06.01.18;0;2;Ski;M;Skogshorn;Hemsedal;Busk.;138890;;Skiløperutløst skred.
06.01.18;0;1;Ski;M;Lågfjellet;Harstad;Nord.;138930;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
06.01.18;0;1;Ski;M;Blåøret;Oppdal;S-T;138947;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
06.01.18;0;3;Ski;M;Svarthetta;Hemsedal;Busk.;138974;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
06.01.18;0;2;Ski offpist;M;Trollhøi;Vågå;Oppl.;138969;;Skiløper utløst skred. En tatt og skadet. Fraktet ut av Luftambulansen.
05.01.18;0;1;Ski;M;Bjørnstegfjellet;Luster;S&F;138790;;Skiløper fjernuløste lite skred. Ingen tatt. Ingen skadet.
05.01.18;0;2;Ski;M;Fagernesfjellet;Narvik;Nord.;138792;;Skiløpere utløst skred. Ingen skadet.
31.12.17;0;1;Ski;M;Skjervan;Rauma;M&R;138096;;Skiløperutløst skred. En tatt. Ingen skadet.
31.12.17;0;2;Ski;M;Utskarpen;Rana;Nord.;138029;;Skiløperutløst skred. Ingen skadd.
30.12.17;0;1;Ski;M;Geithedlar;Sirdal;V-A;137868;;Lite flakskred fjernutløst av skijører. Ingen tatt. 
30.12.17;0;1;Ski;M;Grøvfjellet;Vefsn;Nord.;137857;;Skiløperutkøst lite skred. En ble stående fast med beina i snøen, men kom seg løs ved egen hjelp.
30.12.17;0;2;Ski;M;Steinskardtinden;Tromsø;Troms;137874;;Skiløperutløst skred. Klarte å kjøre ut av skredet. Ingen skadet
26.12.17;0;3;Ski offpist;M;Rauma skisenter;Rauma;M&R;137237;;Skiløperutløst skred nært skitrekk. Ingen tatt.
24.12.17;0;1;Ski;M;Blåtinden;Vågan;Nord.;136998;;Skiløper utløste lite skred i renne. Ingen skadet
18.12.17;0;1;Ski;M;Sonlifjellet;Meråker;N-T;135966;;Skiløper utløste skred og ble tatt. Kom seg ut ved egen hjelp og var uskadd.
17.12.17;0;2;Ski;M;Mannfjellet;Meråker;N-T;135841;;Skiløpere utløste skred og ble ført med 5 meter. Ingen skadd.
17.12.17;0;3;Ski;M;Auskjeret;Sykkylven;M&R;135886;http://www.smp.no/nyheter/2017/12/17/Sykkylven-Sn%C3%B8skred-p%C3%A5-Auskjeret-15766825.ece?cx_front_click=baseline_test&cx_front_click_place=3&cx_front_click_articles=4;Skiløpere utløste skred. Ingen tatt. Ingen skadet.
13.12.17;0;1;Snøskuter;M;Sultinden;Lenvik;Troms;135862;;Snøscooterutløst lite skred. Ingen skadet eller begravet
10.12.17;0;2;Bil;N;Dølsteinfonna;Rauma;M&R;134794;;Naturlig utløst skred. Bobil truffet.Skredvoll tok mesteparten av støyten. Ingen skadet.
08.12.17;0;2;Ski;M;Fagerfjellet;Tromsø;Troms;134651;;Skiløpere utløste skred. To tatt. Ingen begravd. Ingen skadet
27.05.17;0;1;Ski;M;Alnestinden;Rauma;M&R;132874;http://www.andalsnes-avis.no/nyheter/2017/05/27/Skil%C3%B8per-utl%C3%B8ste-ras-fra-Alnestind-14788838.ece;Skiløper utløste skred. Ingen skadet.
15.05.17;0;2;Ski;M;Hinnstein;Harstad;Troms;127662;;Skiløpere utløste våtsnøskred. Ble tatt med et stykke nedover, men ikke skadet.
14.05.17;0;1;Ski;M;Helgelandsbukken;Meløy;Nord.;127591;;Skiløper utløste to små skred. Ingen tatt. Ingen skadet.
14.05.17;0;1;Ski;M;Breidtinden;Vågan;Nord.;127583;;Skikjører utløste lite vått skred. Ingen tatt. Ingen skadet
14.05.17;0;2;Ski;M;Gullesfjorden;Kvæfjord;Nord.;127584;;Lite vått flakskred utløst av 2 skijørere. Ingen tatt. Ingen skadet
13.05.17;0;1;Ski;M;Blåtinden;Ørsta;M&R;132876;;Skikjører løste ut og ble tatt av våtskred. Kom seg ut ved egen hjelp. Ingen skadet. Info fra  FB gruppe Toppturer i Nordvest
07.05.17;0;4;Ski;M;Storsteinnestindan;Tromsø;Troms;126965;;Gruppe på tur utløste lite skred. Ingen tatt. Ingen skadet.
05.05.17;0;1;Ski;M;Altbreen;Longyearbyen;Sval.;127008;;Skiløper utløste skred. Ingen tatt. Ingen skadet.
02.05.17;0;2;Ski;M;Raudvassfjellet;Hattfjelldal;Nord.;126381;;To skikjørere fjernutløste skred.Ingen tatt. Ingen skadet.
01.05.17;0;1;Snøbrett;M;Ottofjellet;Longyearbyen;Sval.;126385;;Snowboarder fjernutløste lite skred. Ingen tatt. Ingen skadet.
30.04.17;0;2;Ski;M;Skålatårnet;Stryn;S&F;126153;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
30.04.17;0;2;Ski;M;Holebudalen;Odda;Hord.;126212;;Skiløper utløst skred. Kingen tatt. Ingen skadet
29.04.17;0;1;Ski;M;Børvasstindan;Bodø;Nord.;126080;;Skikjører utløsteskred. Ingen tatt. Ingen skadet.
29.04.17;0;6;Ski;M;Tunga;Sunndal;M&R;126073;;Gruppe på seks utløste skred og ble tatt av skred. En skadet og hentet med helikopter.
29.04.17;0;3;Ski;M;Rundhøe;Lom;Oppl.;126142;;Gruppe med tre utløste skred. Ingen tatt. Ingen skadet.
29.04.17;0;1;Ski;M;Hellstugubreen;Lom;Oppl.;126133;;Skiløper utløst skred. Ingen tatt. Ingen skadet
28.04.17;0;3;Ski;M;Solbjørgnipa;Voss;Hord.;125987;;Gruppe på tre utløste skred. To tatt. Kom seg ut ved egen hjelp. Ingen skadet.
23.04.17;0;2;Ski;M;Bjørnråfjellet;Sortland;Nord.;125292;;Gruppe på to utløste skred. 
23.04.17;0;4;Ski;M;Stortinden;Sortland;Nord.;125287;;Gruppe på fire fjernutløste skred. Ingen tatt. Ingen sakdet.
23.04.17;0;2;Ski;M;Heggmotinden;Bodø;Nord.;125290;;Skikjørere utløste skred. Ingen tatt. Ingen skadet.
22.04.17;0;1;Ski;M;Storsteinnestindan;Tromsø;Troms;125161;;Skikjører utløste skred. Sto igjen ved bruddkant.
22.04.17;0;1;Ski;M;Haukelifjell;Odda;Hord.;125166;;Skikjører fjernutløste skred. Ingen tatt. Ingen skadet
22.04.17;0;8;Ski;M;Kistrandfjellet;Bodø;Nord.;125104;;Gruppe med skikjørere fjernutløste skred. Ingen tatt. Ingen skadet
21.04.17;0;1;Ski;M;Hans Meyer fjellet;Vågan;Nord.;125035;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
21.04.17;0;6;Ski;M;Torskmannen;Vågan;Nord.;125042;;Gruppe fjernutløste skred fra rygg. Ingen tatt. Ingen skadet
21.04.17;0;1;Ski;M;Lyngseidet;Lyngen;Troms;125054;;Skikjører tatt av skred og ført nedover enne. Kom seg ut ved egen hjelp. Ingen skadet.
21.04.17;0;6;Ski;M;Valnesfjorden;Fauske;Nord.;125009;;Gruppe med skikjørere fjernutløste skred. Ingen tatt. Ingen skadet
21.04.17;0;1;Ski;M;Brubrekka;Hadsel;Nord.;125022;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
21.04.17;0;3;Ski;M;Surtningsbreen;Luster;S&F;125036;;3 skiløpere utløste skred. 1 tatt og delvis begravd. Var synlig og kom seg ut uten skader.
21.04.17;0;1;Ski;M;Sørkjosen;Nordreisa;Troms;124981;;Skiløperutløst skred i konveks formasjon. Ingen tatt. Ingen skadet.
17.04.17;0;1;Ski;M;Rambjørgebotn;Jølster;S&F;124579;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
16.04.17;0;6;Ski;M;Ljosura;Eid;S&F;124395;;Skiløpere utløste to små skred. Ingen tatt.Ingen skadet
15.04.17;0;1;Ski;M;Borgarebu;Voss;Hord.;124287;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
15.04.17;0;1;Ski;M;Svartisen;Rødøy;Nord.;124300;;Fjellskiutløperutløst skred. Ingen tatt. Ingen skadet.
15.04.17;0;1;Ski;M;Hemsedal;Hemsedal;Busk.;124301;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
14.04.17;0;1;Ski;M;Stavsnuten;Odda;Hord.;124293;;Skiløperutløst skred. En tatt. Ingen skadet.
14.04.17;0;1;Ski;M;Storhaugen;Oppdal;S-T;124177;;Skiløper utløste skred på konveks formasjon. Ingen tatt. Ingen skadet.
14.04.17;0;2;Ski;M;Kattfjordeidet;Tromsø;Troms;124208;;Skiløper utløst skred. Kom seg ut ved egen hjelp. Ingen skadet
13.04.17;0;1;Ski;M;Andørja;Ibestad;Troms;124051;;Skred utløst av skikjører. Fikk kjørt ut av skredet. Ingen skadet.
13.04.17;0;1;Ski;M;Kvaløya;Tromsø;Troms;124087;;Skiløperutløst skred. Ingen tatt, ingen skadet.
13.04.17;0;2;Snøbrett;M;Store Jægervasstinden;Lyngen;Troms;124086;;To splitboardere utløste skred. Ble ført med nedover. Kom seg ut ved egen hjelp. Ingen skadet.
12.04.17;0;3;Ski;M;Geitgaljen;Hadsel;Nord.;123932;;Turfølge utløste skred. En ble ført med skredet, men kom seg ut ved egen hjelp. Ingen skadet
12.04.17;0;5;Snøbrett;M;Store Hesten;Berg;Troms;158458;;Skred utløst av snøbrettkjører. Ingen tatt. Ingen skadet.
11.04.17;0;2;Ski;M;Kolåstinden;Ørsta;M&R;123925, 123860;http://www.smp.no/nyheter/2017/04/11/To-personar-tatt-av-sn%C3%B8skred-ved-Kol%C3%A5stinden-14586386.ece;Turfølge utløste skred. Kom seg ut ved egen hjelp. Ingen skadet
09.04.17;1;2;Ski;K;Litlskjorta;Nesset;M&R;132878;http://www.adressa.no/nyheter/moreromsdal/2017/04/10/Navnet-p%C3%A5-omkommet-kvinne-frigitt-14578895.ece;Toppskavl brakk. En person falt flere hundre meter og omkom
09.04.17;0;6;Snøskuter;M;Bjørndalen;Lyngen;Troms;123440;;Snøscooterutløst lite skred. Ingen skadet
08.04.17;0;1;Ski;M;Storsteinnestinden;Tromsø;Troms;123418;;Skiløperutløst skred. Ingen tatt, ingen skadet.
06.04.17;0;1;Snøbrett;M;Bjørndalen;Lyngen;Troms;123030;;Skred løst ut av snøbrettkjører på toppen av heng. Ingen tatt, ingen skadet
02.04.17;0;1;Ski;M;Tverrelvaksla;Tromsø;Troms;122391;;Skiløper utløste lite skred. Ingen tatt, ingen skadet
01.04.17;0;1;Ski;M;Storhaugen;Kåfjord;Troms;122326;;Skiløperutløst skred. Ingen tatt, ingen skadet.
01.04.17;0;1;Ski;M;Leirvassbu;Lom;Oppl.;122242;;Skiløperutløst skred. Ingen tatt, ingen skadet.
28.03.17;0;6;Ski;M;Nedretinden, Furuflaten;Lyngen;Troms;121918;http://www.framtidinord.no/nyheter/2017/03/28/Skiturister-utl%C3%B8ste-skred-i-Lyngen-14517573.ece;Turfølge på seks utløste skred. Ingen tatt.
23.03.17;0;2;Ski;M;Gaustadtoppen;Tinn;Tele.;120704;;Skred utløst av to skiløpere. En tatt men kom seg ut ved egen hjelp. Ingen skadet
20.03.17;0;5;Ski;M;Lyngseidet;Lyngen;Troms;120218;;Turfølge på 5-6 utløste skred på overside ned mot elvedal. Ingen tatt
19.03.17;0;1;Ski;M;Bleia;Lærdal;S&F;120008;;Skiløper løste ut skred. Begravd til hofte. Uskadet.
18.03.17;0;1;Ski;M;Hemsedal;Hemsedal;Busk.;119871;;Utløst av skikjører. Skispor inn og ut av skredet. Ingen skadet
16.03.17;1;4;Ski;M;Lyngseidet;Lyngen;Troms;119839;https://www.nordlys.no/mann-omkom-etter-snoskredet-i-lyngen/s/5-34-593049;Turfølge på 4 løste ut skred. 2 tatt. En funnet raskt og overlevde.  En etter 2 timer. Døde dagen etter.
15.03.17;0;6;Ski;M;Haugastøl;Hol;Busk.;132877;http://www.bt.no/nyheter/innenriks/Tysk-kvinne-funnet-i-live-etter-skred-ved-Haugastol-331881b.html;Turfølge på 6 utløste skred. En ble tatt og begravd. Gravd frem etter nærmere 4 timer . I live.
14.03.17;0;1;Ski;M;Rørgata, Rottenvikvatnet;Lyngen;Troms;119225;;Skred utløst av gruppe på tur. En begravd til brystet. Ingen skadet. Kom ut ved egen hjelp
12.03.17;0;5;Ski;M;Blåtinden;Balsfjord;Troms;118826;;Gruppe utløste skred. Kom seg akkurat unna slik at ingen ble tatt
12.03.17;0;3;Ski;M;Nonstinden, Kvaløya;Tromsø;Troms;132879;https://www.nrk.no/troms/moderate-skader-for-mann-i-30-arene-etter-skred-1.13422066;Skikjørere utløste skred i bratt renne. Kom seg ut for egen hjelp. En skadet og ble sendt til sykehus
10.03.17;0;1;Ski;M;Hallingdal;Hemsedal;Busk.;118540;;
10.03.17;0;1;Ski;M;Laupstad;Vågan;Nord.;118530;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
10.03.17;0;1;Ski;M;Gaustadtoppen;Tinn;Tele.;118488;;Skiløperutløst skred i renne. Ingen skadet.
07.03.17;0;1;Snøskuter;M;Fastdalstinden;Lyngen;Troms;117996;;Snøscooterutløst lite skred. Ingen skadet
05.03.17;0;1;Ski;M;Stølsheimen;Modalen;Hord.;117721;;Skiløperutløst skred. Ingen tatt, ingen skadet.
02.03.17;0;1;Ski;M;Buren;Tromsø;Troms;117867;;Skiløper utløste lite skred. Uvisst om han ble tatt. Ingen ble skadet
27.02.17;0;1;Ski offpist;M;Djevelberget;Tromsø;Troms;116857;;Skikjører løste ut skred og seilte med 20 meter. Ble ikke skadet og kom seg ut ved egen hjlep
24.02.17;0;1;Snøbrett;M;Sjufjellet;Balsfjord;Troms;116366;;Brettkjører utløset skred over seg. Ble ført 20 meter. Kom seg ut ved egen hjelp uskadet.
23.02.17;0;1;Ski;M;Togga;Sogndal;S&F;116124;;Skiløper utløst skred. Kom seg ut ved egen hjelp. Ingen skadet
23.02.17;0;1;Ski offpist;M;Frudalshesten;Sogndal;S&F;117458;;Skiløperutløst skred. En person skadet
22.02.17;0;1;Ski offpist;M;Djevelberget;Tromsø;Troms;116033;;Skiløperutløst skred. Muligens to. Ingen skadet
21.02.17;0;1;Ski;M;Nuvsvåg;Loppa;Finn.;116060;;Skiløperutløst skred. Ingen skadet
19.01.17;0;1;Ski;M;Rørgata, Rottenvik;Lyngen;Troms;111315;;En skikjører utløste lite skred i testheng. Ingen skadet
16.01.17;0;2;Ski;M;Blåtinden;Vågan;Nord.;110793;;To skikjørere utløste skred. Ingen tatt.
15.01.17;0;1;Ski;M;Nordre Nattmålstuva;Fauske;Nord.;110590;;En person utløste lite skred. Ingen tatt.
14.01.17;0;4;Ski;M;Lemonsjøen;Vågå;Oppl.;110450;;Turfølge på tre utløste skred. En tatt. Ingen skadet. En utløste et skred. Ingen tatt
07.01.17;0;2;Ski;M;Skarvassbu;Tromsø;Troms;109292;;Turfølge på to løste ut skred. En ble med skredet ned et stykke. Ingen skadet. Kom seg ut for egen hjelp
06.01.17;0;2;Ski;M;Anderdalstinden;Balsfjord;Troms;109159;;Turfølge på to løste ut skred. En ble med skredet ned et stykke. Ingen skadet. Kom seg ut for egen hjelp
13.11.16;0;3;Ski;M;Ørsta;Ørsta;M&R;132880;;Turfølge på to løste ut skred. En person + en hund ble tatt. Ingen ble skadet. Kom seg ut for egen hjelp.
13.06.16;0;7;Ski;M;Liefdefjorden;;Sval.;132881;;Turfølge på syv utløste skred. Seks tatt. Ingen skadet. Kom seg ut for egen hjelp.
01.05.16;0;1;Bil;N;Gaularfjellet;Gaular;S&F;96291;;En bil (eller tilhenger) tatt i skred. 
01.05.16;0;3;Ski;M;Øspetind;Vestnes;M&R;96290;;Turfølge på tre utløste snøskred, ingen skadet. 
01.05.16;0;3;Ski;M;Slogen;Ørsta;M&R;96272;;To skred ble utløst av tre skikjørere på vei opp Slogen. Ingen ble tatt. 
30.04.16;0;10;Ski;M;Steindalsnosi;Luster;S&F;96215;;Guidet turgruppe fra High Camp Turtagrø. Ti stk i turfølget, ni av de tatt av skredet. To stk moderat til alvorlig skadet. 
30.04.16;0;3;Ski;M;Kyrkja;Lom;Oppl.;96091, 96151;;Et turfølge på tre, en tatt og begravd til brysthøyde. 
30.04.16;1;1;Ski;M;Kavlistetra;Rauma;M&R;96127;http://www.varsom.no/nytt/ulykkesrapporter-sno/Rapport-skred-Isfjorden-30-april-2016/;Svensk skikjører ble tatt av et skred og ført inn i skog.
30.04.16;0;3;Ski;M;Vangsen;Luster;S&F;96084;;Et turfølge på tre stk utløste skred, ingen ble tatt. 
30.04.16;0;5;Ski;M;Hestadalen, Folgefonna;Jondal;Hord.;96061;;Skikjørere (uvisst hvor mange) utløste skred i leheng. Mistet ski osv, ingen begravd. 
30.04.16;0;3;Ski;M;Loftet;Lom;Busk.;96507;;Skikjørere utløste et snøskred på 250-300 meters bredde i bratthenget opp mot Vesleloftet i Lom. Ingen skadd.
24.04.16;1;1;Ski;M;Flenjaeggi;Aurland;Hord.;95346;http://www.varsom.no/nytt/ulykkesrapporter-sno/rapport-snoskredulykke-flenjaeggi-aurland/;Mann omkom av snøskred, ble ført med snøen ned en renne og begravet. 
22.04.16;0;2;Ski;M;Tverrbytthornet;Lom;Oppl.;95185;;To skiløpere står oppe på en skavel under Tverrbytthornet. To sto ned, en ble tatt av raset og ble ført ca 100 meter nedover.
15.04.16;0;7;Ski;M;Tverrdalsfjellet;Narvik;Nord.;93268;;7 tyske turister utløste et skred, en skadet. 
02.04.16;0;2;Ski;M;Ringsdalen;Luster;S&F;91741;http://www.varsom.no/nytt/ulykkesrapporter-sno/skredhendelse-ringsdalen-2-april-2016/;Turfølge tatt av snøskred, redningstjenste kontaktet, men de involverte gjennomførte kameratredning.
27.03.16;1;1;Ski;M;Russelvfjellet;Lyngen;Troms;91373;http://www.varsom.no/nytt/ulykkesrapporter-sno/rapport-dodsulykke-i-lyngen-etter-skavlbrudd/;Mann falt fra skavl, utløste et snøskred, ble begravd under 1,5 m med snø.
23.03.16;0;1;Ski;M;Rundfjellet;Vågan;Nord.;90743;;Mann tatt av snøskred, mistet skiene.
08.03.16;0;7;Snøskuter;M;Valle;Valle;A-A;87535;;Følge på syv snøskutere, tre snøskutere tatt av skredet. Den ene mer eller mindre begravd. Ingen skader. 
04.03.16;0;2;Snøskuter;M;Årviksand;Skjervøy;Troms;86197;;To snøskuterkjørere utløste skredet. En truffet av skredet, men ikke begravd eller skadet. 
03.03.16;0;1;Snøskuter;M;Manndalen;Kåfjord;Troms;83884;;Skuterkjører utløste skred. Ble tatt, men kom seg ut. Skred løsnet på kantkornlaget
02.03.16;0;1;Fots;N;Dalsdalen;Høyanger;S&F;83803;;Jogger merket snøskyen godt, ingen skader skjedd. 
25.02.16;0;1;Bil;N;Skåstaddalen;Ørsta;M&R;87488;;Bil kjørte rett inn i et snøskred.
25.02.16;0;2;Ski;M;Norheimsund;Kvam;Hord.;83075;;2 skiløpere, den ene tatt og totalt begravd, men med en hånd over snøoverflaten. Bruddskader i ben. 
20.02.16;0;3;Ski;M;Teigafjellet;Sogndal;S&F;82190;;Tre skiløpere, der førstemann utløste skredet. Ingen ble tatt. 
20.02.16;0;2;Ski offpist;M;Lemonsjøen;Vågå;Oppl.;82293;;To skiløpere. Da de stoppet opp løste de ut et skred, en ble tatt med. Ingen skader. 
16.02.16;0;2;Bil;N;Grøtfjord;Tromsø;Troms;81512;;Bil kjørte inn i skredet som allerede hadde gått.
13.02.16;0;3;Ski;M;Rørnestind;Lyngen;Troms;81063, 81163;;Et turfølge på tre stk, en av de tatt av skredet. Gikk bra. 
13.02.16;0;1;Ski offpist;M;Sjusjøen Skisenter;Ringsaker;Hedm.;81126;http://www.varsom.no/nytt/ulykkesrapporter-sno/rapport-nestenulykker-i-gudbrandsdalen/;En skiløper tatt av skred, kom seg ut på egen hånd. 
13.02.16;0;2;Ski offpist;M;Kvitfjell;Ringebu;Oppl.;81026;http://www.varsom.no/nytt/ulykkesrapporter-sno/rapport-nestenulykker-i-gudbrandsdalen/;Personer skadet (delvis tatt av snøskred?) i forbindelse med kontroll av skiområde
11.02.16;0;1;Bil;N;Djupfjordfyllingen;Vågan;Nord.;79671;;Bil kjørte rett inn i et snøskred.
07.02.16;0;3;Fots;M;Bybo;Hammerfest;Finn.;79165;;Tre barn tatt av skred mot lekeområde bak boligblokk, alle overlevde.
31.01.16;0;2;Ski;M;Kleivhøi;Vågå;Oppl.;78213;http://www.varsom.no/nytt/ulykkesrapporter-sno/rapport-ulykke-snoskred-ved-kleivhoi-vaga/;To skiløpere, en tatt og helt begravd. Funnet med SM og grav fram bevisstløs etter 15 min. 
30.01.16;0;2;Ski offpist;M;Trysil skisenter;Trysil;Hedm.;77851;;Nestenulykke. 3 stk på skitur. 2 stk ble tatt av skredet, men ikke begravd. 
24.01.16;0;3;Ski;M;Rundfjellet;Balsfjord;Troms;76908;http://www.varsom.no/nytt/ulykkesrapporter-sno/rapport-nestenulykke-snoskred-ved-rundfjellet-breivikeidet/;Alle tre ble tatt av skredet, ingen ble totalt begravet og ingen ble skadet.
17.01.16;0;5;Ski;M;Storenut;Odda;Hord.;75827;;5 stk på tur, tre skadet. Ingen fullstendig begravet. De skredtatte fikk alle moderate bruddskader.
09.01.16;0;2;Bil;N;Ytre Bakkeby;Nordreisa;Troms;73875, 73794;;To biler tatt. Ingen personskader
03.01.16;0;1;Ski offpist;M;Filefjell alpinsenter;Vang;Oppl.;73236;;Mann alene på ski nært anlegget, løste ut skred i fokksnø. Ingen skader.
03.01.16;0;2;Ski offpist;M;Røldal skisenter;Odda;Hord.;72984;;To stk på ski ned ei renne, en ble tatt og skadet kneet. 
19.12.15;2;21;Hus;N;Longyearbyen;Longyearbyen;Sval.;71387;;Skred traff 10 hus fra 1976 under Sukkertoppen, 2 døde, 6 skadde. 21 mennesker var inni husene da skredet kom. Etter hendelsen ble 158 mennesker evakuert.
15.11.15;0;2;Ski;M;Rasletind;Vågå;Oppl.;67257, 67320, 67407;http://www.varsom.no/nytt/ulykkesrapporter-sno/rapport-snoskredulykke-rasletind/;Tre på tur opp, en utløste skredet. To tatt. en helt og en delvis begravd. Kameratreddet på 15 min.
27.06.15;0;3;Ski;M;Reinstinden;Sunndal;M&R;65478;;Tre på tur, en utløste skred. Ingen skade, men to hentet med helikopter.
13.06.15;0;1;Ski;M;Dyrhaugstindan;Luster;S&F;65362;;Skiløper utløste skred høyt i heng over fleire skiløparar lengre nede. Antall ukjent.
31.05.15;2;2;Fots;M;Merraflestind;Moskenes;Nord.;65479;;Par tatt i skred. Begge døde.
31.05.15;0;10;Ski;M;Gaustadtoppen;Tinn;Tele.;65480;;Ti personer i området da skredet gikk, uskadd.
30.05.15;0;5;Ski;M;Storbreskaret;Sunnmøre;M&R;64371;;Fem på tur, utløste et skred. En tatt, uskadd.
29.05.15;0;1;Ski;M;Hurrungane;Sogn;S&F;64313;;En tatt med i et skred, men kjørte ut av det uskadd.
28.05.15;0;1;Snøbrett;M;Stryn sommerskisenter;Sogn;S&F;64249;;En brettkjøre utløyste to skred uten å havne i skredmassene,
18.05.15;0;1;Ski;M;Lisjedalshornet;Ørstad;M&R;;;Detaljer og antall ukjent.
18.05.15;0;1;Ski;M;Saudehornet;Ørstad;M&R;;;Detaljer og antall ukjent.
16.05.15;0;1;Ski;M;Holmbukttinden ;Lyngen;Troms;;http://www.varsom.no/nytt/ulykkesrapporter-sno/Husk-at-klassiske-vinterskred-ogsa-kan-ga-pa-varen-/;En skiløper utløste flakskred i fokksnø, uskadd. Antall ukjent.
21.04.15;1;1;Ski;M;Tjønnholstinden;Vågå;Oppl.;60656;http://www.varsom.no/nytt/ulykkesrapporter-sno/Rapport---Dodsulykke-i-Jotunheimen-etter-skavlbrudd/;En skikjører utløste skavlbrudd til fots. Alene på tur. Døde fra langt fall.
06.04.15;0;1;Ski;M;Salvasskardfjellet;Bardu;Troms;59008;;En tatt av skred. Begravd, men funnet i live etter flere timer. Alene på tur.
