Dato;Døde;Involvert;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse
06.04.18;0;1;Ski;M;Hevsdalen;Stranda;M&R;156802;;Skiløperutløst skred. Klarte å kjøre fra skredet. Ikke skadet.
06.04.18;0;1;Ski;M;Rundhøe;Lom;Oppl.;156854;;Skiløperutløst skred. En helt begravd. Klarte å gave seg selv ut. Ikke skadet.
06.04.18;0;1;Ski;M;Hamarskardet;Hemsedal;Busk.;156786;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
06.04.18;0;1;Ski;M;Blådalen;Stranda;M&R;156843;;Persoutløst skred. Ingen tatt. Ingen skadet.
06.04.18;0;2;Ski;M;Kvandalsskardet;Ørsta;M&R;156858;;Skiløpere utløste skred. En tatt uten å bli begravet. Ingen skadet.
06.04.18;0;1;Ski;M;Roaldshornet;Stranda;M&R;156703;;Skred fjernutløst av skiløper. Ingen tatt. Ingen skadet.
06.04.18;0;1;Ski offpist;M;Kvitfjell;Ringeby;Oppl.;156728;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
05.04.18;0;1;Ski;M;Blåtinden;Vestvågøy;Nord.;156564;;Skiløper utløste skred. Igjen tatt. Ingen skadet.
05.04.18;0;9;Ski;M;Svartfjellet;Nordreisa;Troms;156577;;Gruppe på 9 utløste mest sannsynlig skred. Ingen tatt? Ingene skadet.
04.04.18;0;12;Ski;M;Nevernesfjellet;Kvænangen ;Finn.;156289;;Grupp på 12 utløste skred. Alle tatt. En begravd. Ingen skadet.
03.04.18;0;3;Ski;M;Spanstinden;Gratangen;Troms;156008;;Skiløperutløst skred. Ingen tatt?. Ingen skadet?
03.04.18;0;1;Ski offpist;M;Fagernesfjellet;Narvik;Troms;155929;;Skiløperutløst skred. En tatt? Ingen skadet.
02.04.18;0;1;Ski;M;Ladalshalsen;Sortland;Nord.;155987;;Skiløper fjernutløser skred. Ingen tatt. Ingen skadet.
02.04.18;0;2;Ski;M;Eliasdalen;Tromsø;Troms;155653;;Fjernutløste skred av skiløpere. Ingen tatt. Ingen skadet.
01.04.18;1;2;Ski;M;Sydalsfjellet;Vågan;Nord.;155976;;Skiløperutløst skred. En tatt. En omkom.
01.04.18;0;1;Ski;M;Sjufjellet;Balsfjord;Troms;155413;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
01.04.18;0;4;Ski;M;Kavringtinden;Lyngen;Troms;155421;;Gruppe fjernutløste skred. Ingen tatt. Ingen skadet
01.04.18;0;2;Ski;M;Andersdalen;Tromsø;Troms;155488;;Skiløpere fjernutløste skred. Ingen tatt. Ingen skadet.
01.04.18;0;2;Ski;M;Hamradalen;Sogndal;S&F;155543;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
