avalanche_size;trigger;probability;distribution;x;y;label_size;label_trigger;label_probalility;label_distribution;colour
3 - Middels;Naturlig utloest;Sannsynlig, Meget sannsynlig;Isolerte faresoner;600;300;3;NT;expected;isolated slopes;gray
3 - Middels;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Noen bratte heng;700;300;3;HT;unlikely;some steep slopes;white
3 - Middels;Naturlig utloest;Lite sannsynlig;Noen bratte heng;800;300;3;NT;unlikely;some steep slopes;white
3 - Middels;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Noen bratte heng;900;300;3;HT;possible;some steep slopes;white
3 - Middels;Naturlig utloest;Mulig;Noen bratte heng;1000;300;3;NT;possible;some steep slopes;white
3 - Middels;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1100;300;3;HT;expected;some steep slopes;white
3 - Middels;Naturlig utloest;Sannsynlig, Meget sannsynlig;Noen bratte heng;1200;300;3;NT;expected;some steep slopes;white
3 - Middels;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1300;300;3;HT;unlikely;many steep slopes;gray
3 - Middels;Naturlig utloest;Lite sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1400;300;3;NT;unlikely;many steep slopes;gray
3 - Middels;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1500;300;3;HT;possible;many steep slopes;white
3 - Middels;Naturlig utloest;Mulig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1600;300;3;NT;possible;many steep slopes;white
3 - Middels;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1700;300;3;HT;expected;many steep slopes;white
3 - Middels;Naturlig utloest;Sannsynlig, Meget sannsynlig;Mange bratte heng, De fleste bratte heng, Ogsaa i mindre bratt terreng;1800;300;3;NT;expected;many steep slopes;white
4 - Store;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Isolerte faresoner;100;400;4;HT;unlikely;isolated slopes;white
4 - Store;Naturlig utloest;Lite sannsynlig;Isolerte faresoner;200;400;4;NT;unlikely;isolated slopes;white
4 - Store;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Isolerte faresoner;300;400;4;HT;possible;isolated slopes;white
4 - Store;Naturlig utloest;Mulig;Isolerte faresoner;400;400;4;NT;possible;isolated slopes;white
4 - Store;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Isolerte faresoner;500;400;4;HT;expected;isolated slopes;gray
4 - Store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Isolerte faresoner;600;400;4;NT;expected;isolated slopes;gray
4 - Store;Stor tilleggsbelastning, Liten tilleggsbelastning;Lite sannsynlig;Noen bratte heng;700;400;4;HT;unlikely;some steep slopes;white
4 - Store;Naturlig utloest;Lite sannsynlig;Noen bratte heng;800;400;4;NT;unlikely;some steep slopes;white
4 - Store;Stor tilleggsbelastning, Liten tilleggsbelastning;Mulig;Noen bratte heng;900;400;4;HT;possible;some steep slopes;white
4 - Store;Naturlig utloest;Mulig;Noen bratte heng;1000;400;4;NT;possible;some steep slopes;white
4 - Store;Stor tilleggsbelastning, Liten tilleggsbelastning;Sannsynlig, Meget sannsynlig;Noen bratte heng;1100;400;4;HT;expected;some steep slopes;white
4 - Store;Naturlig utloest;Sannsynlig, Meget sannsynlig;Noen bratte heng;1200;400;4;NT;expected;some steep slopes;white
